A1	A03_100ng
B1	A03_10ng
C1	A03_1ng
D1	A03_0.5ng
E1	A03_0.1ng
F1	A03_1500bp
G1	A03_800bp
H1	A03_400bp
A7	A03_150bp
A2	D01_100ng
B2	D01_10ng
C2	D01_1ng
D2	D01_0.5ng
E2	D01_0.1ng
F2	D01_1500bp
G2	D01_800bp
H2	D01_400bp
B7	D01_150bp
A3	A01_100ng
B3	A01_10ng
C3	A01_1ng
D3	A01_0.5ng
E3	A01_0.1ng
F3	A01_1500bp
G3	A01_800bp
H3	A01_400bp
C7	A01_150bp
A4	A20_100ng
B4	A20_10ng
C4	A20_1ng
D4	A20_0.5ng
E4	A20_0.1ng
F4	A20_1500bp
G4	A20_800bp
H4	A20_400bp
D7	A20_150bp
A5	D03_100ng
B5	D03_10ng
C5	D03_1ng
D5	D03_0.5ng
E5	D03_0.1ng
F5	D03_1500bp
G5	D03_800bp
H5	D03_400bp
E7	D03_150bp
A6	D10_100ng
B6	D10_10ng
C6	D10_1ng
D6	D10_0.5ng
E6	D10_0.1ng
F6	D10_1500bp
G6	D10_800bp
H6	D10_400bp
F7	D10_150bp
